Passenger_ID,Flight_ID,Airline,Origin,Destination,Flight_Status,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,MembershipTier,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Distance_km,FlightDurationMinutes,DepartureDate,IsHoliday,Departure_Hour,Departure_Weekday,Departure_Month,Price,BaggageAllowance
P13,F1171,Singapore Airlines,BKK,KUL,Delayed,28,Female,Medium,Emergency,Economy,None,Desk,5.4,13.0,115,0,0,Window,1220,91,2024-02-28,0,1,2,2,583.24,0
P14,F1788,Malaysia Airlines,HKG,SIN,On-time,38,Female,Low,Business,Economy,Silver,Desk,5.1,3.0,13,0,0,Window,2565,192,2024-09-18,0,7,2,9,414.21,0
P15,F377,Korean Air,NRT,HKG,On-time,20,Male,Low,Business,Business,Gold,Desk,4.1,8.0,87,0,0,Window,2962,222,2024-05-13,0,12,0,5,538.83,0
P17,F1631,Japan Airlines,BKK,KUL,On-time,19,Female,Medium,Emergency,Premium Economy,None,Online,6.5,11.0,76,0,0,Middle,1220,91,2023-10-19,0,19,3,10,333.98,0
P18,F170,Japan Airlines,BKK,KUL,On-time,18,Female,Low,Family,Premium Economy,None,Mobile App,7.9,12.0,8,0,0,Window,1220,91,2024-04-13,0,1,5,4,658.82,0
P19,F478,Japan Airlines,BKK,TPE,Delayed,64,Male,Medium,Emergency,Economy,Gold,Airport Kiosk,7.9,4.0,88,0,0,Aisle,2489,186,2024-01-26,1,1,4,1,323.13,0
P20,F362,Japan Airlines,SYD,SYD,On-time,20,Male,Medium,Leisure,Economy,Platinum,Mobile App,4.9,2.0,24,0,0,Aisle,0,0,2024-09-19,0,0,3,9,744.81,0
P21,F1143,Korean Air,SYD,SYD,On-time,22,Male,Medium,Emergency,Premium Economy,None,Mobile App,10.0,4.0,59,0,0,Middle,0,0,2023-11-16,0,21,3,11,583.08,0
P22,F39,Qantas,TPE,ICN,On-time,29,Male,Medium,Family,Economy,Gold,Airport Kiosk,4.9,9.0,52,1,1,Window,1463,109,2023-08-24,1,21,3,8,406.8,20
P23,F1663,Singapore Airlines,ICN,HND,On-time,54,Male,High,Business,Economy,None,Mobile App,3.9,3.0,10,0,0,Window,1209,90,2025-02-11,1,7,1,2,373.34,20
P24,F290,Japan Airlines,SIN,BKK,Cancelled,60,Female,Low,Leisure,Economy,Gold,Online,8.4,16.0,66,0,0,Window,1416,106,2023-05-25,0,0,3,5,288.0,40
P25,F888,Japan Airlines,TPE,ICN,On-time,55,Female,Medium,Leisure,Economy,None,Online,4.5,6.0,92,0,0,Middle,1463,109,2023-08-06,1,21,6,8,365.8,0
P26,F1447,Malaysia Airlines,TPE,BKK,On-time,34,Male,Medium,Leisure,Economy,None,Online,6.7,6.0,94,0,0,Aisle,2489,186,2024-05-26,0,10,6,5,609.78,20
P27,F47,Qantas,SYD,SYD,On-time,51,Male,Low,Leisure,Premium Economy,Gold,Online,6.9,14.0,70,0,0,Window,0,0,2025-02-06,1,21,3,2,500.38,0
P29,F427,Singapore Airlines,ICN,HKG,On-time,54,Male,Medium,Emergency,Economy,Gold,Desk,7.7,2.0,64,0,1,Aisle,2069,155,2025-01-13,0,20,0,1,329.42,20
P30,F939,Singapore Airlines,HKG,PVG,On-time,31,Female,High,Family,Economy,None,Mobile App,6.6,11.0,114,0,0,Middle,1255,94,2023-06-06,1,21,1,6,630.39,20
P31,F922,Korean Air,TPE,HKG,Cancelled,45,Female,Medium,Leisure,Economy,None,Desk,5.2,7.0,45,0,0,Middle,806,60,2023-12-11,0,9,0,12,524.25,20
P32,F127,Japan Airlines,HKG,SIN,On-time,49,Male,Medium,Business,Economy,Platinum,Online,9.1,2.0,63,0,0,Window,2565,192,2024-03-20,0,19,2,3,488.84,20
P33,F602,Malaysia Airlines,ICN,PVG,Delayed,37,Male,High,Leisure,Economy,Silver,Airport Kiosk,5.7,0.0,109,0,0,Window,822,61,2024-09-19,0,7,3,9,625.17,20
P34,F186,Singapore Airlines,SIN,TPE,On-time,76,Female,Medium,Family,Premium Economy,None,Online,6.5,14.0,7,0,1,Middle,3222,241,2023-07-06,1,20,3,7,405.03,20
P35,F699,Singapore Airlines,TPE,SIN,On-time,44,Male,Medium,Family,Economy,None,Desk,7.8,0.0,96,0,0,Middle,3222,241,2024-01-09,0,11,1,1,605.06,0
P36,F215,Qantas,SIN,BKK,On-time,31,Female,High,Family,Economy,Silver,Airport Kiosk,9.1,7.0,90,0,0,Middle,1416,106,2024-01-30,1,2,1,1,645.79,20
P37,F1221,Singapore Airlines,BKK,TPE,Cancelled,70,Female,Low,Emergency,Economy,Gold,Airport Kiosk,5.8,8.0,43,0,0,Middle,2489,186,2023-08-18,1,11,4,8,427.23,0
P38,F117,Singapore Airlines,BKK,TPE,On-time,69,Male,High,Leisure,Economy,Silver,Mobile App,6.5,16.0,34,0,0,Middle,2489,186,2023-08-14,1,12,0,8,439.2,20
P39,F807,Japan Airlines,SYD,SYD,On-time,60,Female,Medium,Leisure,Economy,Silver,Mobile App,7.7,3.0,63,0,0,Window,0,0,2024-06-25,1,8,1,6,745.58,0
P40,F657,Qantas,SYD,SYD,On-time,44,Male,Medium,Emergency,Economy,Silver,Mobile App,4.2,0.0,79,0,0,Aisle,0,0,2024-10-16,0,9,2,10,488.7,40
P41,F1353,Singapore Airlines,NRT,ICN,Delayed,66,Female,Low,Family,Economy,None,Desk,9.4,13.0,92,0,0,Middle,1256,94,2023-11-15,0,21,2,11,359.17,20
P42,F1179,Qantas,SIN,BKK,On-time,21,Male,Medium,Business,Economy,None,Desk,8.5,0.0,107,0,1,Middle,1416,106,2023-11-14,0,6,1,11,555.51,40
P43,F1036,Korean Air,BKK,KUL,On-time,50,Female,Medium,Leisure,Economy,None,Mobile App,6.7,28.0,70,0,0,Window,1220,91,2025-04-18,1,1,4,4,597.99,20
P44,F229,Singapore Airlines,ICN,HND,On-time,42,Female,Medium,Emergency,Business,Silver,Mobile App,7.3,14.0,88,0,0,Middle,1209,90,2023-12-13,0,6,2,12,700.24,20
P45,F1553,Japan Airlines,TPE,ICN,On-time,72,Female,High,Leisure,Economy,None,Mobile App,8.0,8.0,68,0,0,Window,1463,109,2024-03-31,0,8,6,3,481.02,20
P46,F1759,Japan Airlines,SIN,HKG,On-time,30,Male,Low,Leisure,Economy,Silver,Mobile App,8.5,9.0,12,0,0,Middle,2565,192,2023-08-28,1,2,0,8,528.92,20
P47,F726,Japan Airlines,NRT,TPE,Cancelled,37,Male,Medium,Business,Premium Economy,None,Online,6.2,1.0,48,0,0,Middle,2181,163,2025-01-20,1,5,0,1,473.07,20
P48,F121,Korean Air,HKG,BKK,Delayed,38,Male,High,Family,Economy,Gold,Airport Kiosk,9.1,6.0,115,0,0,Middle,1689,126,2025-01-16,0,0,3,1,673.68,0
P49,F1441,Japan Airlines,NRT,HKG,On-time,25,Male,Medium,Family,Premium Economy,None,Airport Kiosk,8.4,26.0,26,0,0,Middle,2962,222,2023-06-05,1,23,0,6,329.58,40
P50,F1698,Japan Airlines,HKG,SIN,On-time,29,Male,High,Emergency,Economy,None,Mobile App,4.9,11.0,112,0,0,Middle,2565,192,2023-05-23,0,17,1,5,184.05,0
P51,F362,Singapore Airlines,KUL,HKG,On-time,39,Female,Medium,Business,Economy,Platinum,Online,8.5,13.0,6,0,0,Window,2543,190,2023-11-12,1,21,6,11,563.38,40
P52,F1577,Japan Airlines,KUL,BKK,On-time,67,Female,Low,Leisure,Premium Economy,None,Online,8.0,8.0,109,0,0,Window,1220,91,2025-02-09,1,16,6,2,343.64,0
P55,F1222,Korean Air,BKK,TPE,Delayed,54,Female,Low,Emergency,Economy,Platinum,Airport Kiosk,5.2,18.0,18,0,1,Window,2489,186,2024-05-16,0,12,3,5,716.91,20
P56,F1537,Malaysia Airlines,BKK,KUL,On-time,18,Male,Medium,Family,Economy,None,Online,5.2,15.0,102,0,0,Aisle,1220,91,2024-11-18,0,12,0,11,344.61,20
P57,F1982,Malaysia Airlines,TPE,HKG,On-time,41,Male,Low,Leisure,Economy,Gold,Online,6.8,12.0,42,0,0,Window,806,60,2023-06-28,1,10,2,6,352.41,20
P58,F1995,Malaysia Airlines,SYD,SYD,On-time,79,Female,Low,Leisure,Economy,Gold,Online,9.3,3.0,97,0,0,Middle,0,0,2024-09-10,0,8,1,9,644.6,60
P59,F571,Malaysia Airlines,ICN,BKK,On-time,31,Male,Medium,Family,Economy,None,Online,6.1,2.0,41,0,0,Window,3668,274,2024-01-12,0,19,4,1,299.82,20
P60,F1972,Qantas,NRT,TPE,On-time,25,Male,Low,Emergency,Premium Economy,None,Online,10.0,8.0,83,0,0,Window,2181,163,2025-02-01,1,3,5,2,541.69,20
P61,F959,Japan Airlines,KUL,BKK,Delayed,18,Female,High,Leisure,Premium Economy,None,Online,8.0,51.0,6,0,0,Middle,1220,91,2023-10-01,0,19,6,10,538.81,0
P62,F237,Japan Airlines,HKG,ICN,On-time,44,Male,High,Family,Economy,None,Mobile App,6.7,5.0,92,0,0,Aisle,2069,155,2025-04-10,0,4,3,4,633.94,20
P63,F1,Malaysia Airlines,BKK,TPE,On-time,75,Male,Medium,Emergency,Premium Economy,None,Desk,6.1,56.0,81,1,0,Aisle,2489,186,2024-02-17,1,13,5,2,375.33,0
P64,F444,Malaysia Airlines,SYD,SYD,On-time,24,Female,Low,Business,Premium Economy,Gold,Mobile App,9.0,1.0,95,0,0,Middle,0,0,2023-11-13,1,3,0,11,685.12,40
P65,F1874,Singapore Airlines,SIN,BKK,On-time,69,Female,High,Business,Premium Economy,None,Mobile App,7.7,4.0,6,0,0,Window,1416,106,2023-07-12,1,7,2,7,529.74,0
P66,F109,Korean Air,SIN,PVG,On-time,76,Male,Medium,Business,Economy,Silver,Desk,8.3,22.0,79,0,0,Window,3805,285,2024-02-19,1,18,0,2,549.62,20
P67,F530,Singapore Airlines,BKK,KUL,Delayed,56,Male,Low,Business,Economy,None,Online,8.7,2.0,21,0,0,Middle,1220,91,2024-12-01,0,2,6,12,564.88,20
P68,F1668,Korean Air,SIN,BKK,On-time,54,Male,Medium,Business,Premium Economy,Silver,Online,5.6,6.0,99,0,0,Window,1416,106,2023-06-01,1,7,3,6,351.48,60
P69,F751,Singapore Airlines,KUL,HKG,On-time,53,Female,High,Leisure,Premium Economy,None,Desk,7.3,9.0,13,0,0,Window,2543,190,2023-10-02,0,13,0,10,443.13,60
P70,F1731,Singapore Airlines,KUL,HKG,Delayed,29,Female,Low,Family,Economy,Gold,Desk,5.2,5.0,58,0,1,Aisle,2543,190,2023-09-30,0,21,5,9,268.56,0
P71,F1956,Korean Air,KUL,HKG,Delayed,62,Male,Medium,Emergency,Economy,Platinum,Online,6.4,8.0,51,0,0,Middle,2543,190,2023-12-19,1,5,1,12,537.78,60
P72,F899,Japan Airlines,SIN,BKK,On-time,34,Female,High,Leisure,Economy,None,Mobile App,7.0,19.0,63,0,0,Middle,1416,106,2023-09-09,0,10,5,9,486.16,0
P73,F1648,Qantas,HKG,ICN,On-time,42,Male,Low,Leisure,Economy,Silver,Mobile App,7.5,11.0,66,0,0,Window,2069,155,2024-04-14,0,18,6,4,573.12,20
P75,F826,Japan Airlines,SYD,SIN,On-time,29,Male,Low,Business,Premium Economy,None,Mobile App,6.9,3.0,80,0,0,Window,6293,472,2024-04-11,0,4,3,4,664.0,0
P76,F1892,Japan Airlines,SYD,SYD,On-time,22,Male,Low,Business,Premium Economy,Gold,Online,9.0,0.0,51,0,0,Middle,0,0,2023-08-26,1,15,5,8,410.26,0
P77,F1831,Singapore Airlines,TPE,ICN,On-time,58,Male,Medium,Family,Premium Economy,None,Desk,6.4,10.0,63,0,0,Aisle,1463,109,2023-05-06,0,20,5,5,393.2,20
P78,F1272,Korean Air,TPE,ICN,On-time,27,Female,Medium,Emergency,Economy,Silver,Mobile App,7.6,8.0,32,0,0,Aisle,1463,109,2025-03-14,0,20,4,3,657.38,20
P79,F1993,Singapore Airlines,SYD,SYD,On-time,27,Female,Medium,Leisure,Economy,Silver,Mobile App,6.8,11.0,19,0,0,Window,0,0,2024-05-06,0,7,0,5,509.79,20
P80,F1742,Korean Air,NRT,BKK,On-time,59,Male,Low,Business,Economy,Gold,Online,6.5,3.0,9,0,1,Middle,4648,348,2023-12-20,1,12,2,12,661.17,80
P81,F1367,Qantas,SIN,BKK,On-time,25,Female,Low,Emergency,Business,Gold,Online,7.4,24.0,21,0,0,Middle,1416,106,2024-06-25,1,4,1,6,410.7,0
P84,F1141,Malaysia Airlines,NRT,ICN,On-time,40,Male,Low,Emergency,Premium Economy,None,Desk,8.6,7.0,23,0,1,Aisle,1256,94,2024-03-18,0,3,0,3,427.83,20
P85,F582,Singapore Airlines,TPE,BKK,On-time,67,Male,High,Leisure,Economy,None,Desk,7.6,8.0,119,0,0,Window,2489,186,2024-09-23,0,20,0,9,530.36,20
P86,F660,Qantas,SYD,SYD,On-time,30,Male,Low,Family,Economy,Silver,Airport Kiosk,5.9,4.0,69,0,0,Middle,0,0,2024-11-01,0,18,4,11,676.6,40
P87,F832,Malaysia Airlines,ICN,HKG,On-time,66,Male,Low,Emergency,Economy,None,Online,7.5,16.0,47,0,0,Window,2069,155,2025-01-30,1,14,3,1,441.58,40
P89,F495,Singapore Airlines,NRT,HKG,Delayed,20,Male,High,Family,Economy,Gold,Airport Kiosk,4.9,5.0,22,0,0,Aisle,2962,222,2023-06-21,1,13,2,6,614.58,20
P90,F405,Malaysia Airlines,TPE,BKK,On-time,57,Male,Medium,Business,Economy,None,Online,5.1,0.0,115,0,0,Aisle,2489,186,2024-08-23,1,2,4,8,501.66,20
P91,F60,Korean Air,TPE,SIN,Cancelled,40,Female,Medium,Emergency,Economy,Platinum,Mobile App,4.8,4.0,99,0,1,Aisle,3222,241,2024-06-10,1,10,0,6,430.16,40
P93,F589,Japan Airlines,BKK,HKG,On-time,55,Female,Medium,Leisure,Premium Economy,None,Mobile App,8.5,32.0,20,0,0,Window,1689,126,2024-03-18,0,22,0,3,491.61,0
P94,F116,Malaysia Airlines,ICN,KUL,On-time,55,Male,Low,Business,Economy,None,Online,6.3,4.0,28,0,0,Window,4612,345,2023-10-01,0,13,6,10,520.5,40
P95,F159,Qantas,TPE,BKK,Delayed,62,Male,Low,Leisure,Economy,Silver,Online,4.1,2.0,101,0,0,Middle,2489,186,2024-05-12,0,5,6,5,387.27,0
P97,F1829,Korean Air,SIN,BKK,Delayed,36,Female,Medium,Emergency,Economy,Gold,Mobile App,7.5,23.0,21,0,0,Middle,1416,106,2023-10-11,0,22,2,10,601.46,20
P99,F1104,Singapore Airlines,ICN,BKK,Delayed,56,Male,Medium,Leisure,Business,Silver,Mobile App,7.1,5.0,111,0,1,Aisle,3668,274,2025-03-24,0,7,0,3,546.42,20
P102,F1655,Singapore Airlines,HKG,SIN,On-time,73,Male,Low,Emergency,First,Silver,Online,8.3,22.0,101,0,0,Window,2565,192,2024-08-02,1,17,4,8,653.12,60
P104,F121,Malaysia Airlines,SIN,HKG,Delayed,59,Male,High,Leisure,Economy,None,Mobile App,5.9,28.0,36,0,1,Window,2565,192,2023-09-29,0,1,4,9,392.19,20
P105,F1320,Qantas,HKG,BKK,On-time,51,Female,High,Emergency,First,Silver,Airport Kiosk,4.9,1.0,57,0,0,Window,1689,126,2024-04-03,0,17,2,4,352.8,80
P107,F292,Korean Air,SYD,SYD,On-time,75,Male,High,Emergency,Economy,Silver,Airport Kiosk,6.7,1.0,4,0,0,Aisle,0,0,2025-04-04,0,15,4,4,292.5,80
P108,F1328,Singapore Airlines,SIN,HKG,On-time,30,Male,Medium,Family,Economy,None,Airport Kiosk,5.7,4.0,116,0,0,Middle,2565,192,2024-02-22,0,20,3,2,330.88,40
P109,F910,Singapore Airlines,SYD,SYD,Delayed,53,Male,Medium,Leisure,Economy,None,Mobile App,6.6,1.0,104,0,0,Window,0,0,2024-07-27,1,12,5,7,458.5,20
P110,F15,Singapore Airlines,HKG,PVG,On-time,47,Female,Medium,Emergency,Economy,Platinum,Desk,7.8,15.0,50,0,0,Middle,1255,94,2023-10-27,0,12,4,10,391.32,20
P111,F249,Malaysia Airlines,HKG,PVG,On-time,74,Female,Medium,Family,Economy,None,Mobile App,9.7,1.0,60,1,0,Aisle,1255,94,2023-09-09,0,23,5,9,466.96,20
P112,F967,Malaysia Airlines,ICN,KUL,On-time,29,Female,High,Business,Premium Economy,Silver,Airport Kiosk,5.9,10.0,21,0,1,Middle,4612,345,2024-10-12,0,21,5,10,514.28,60
P113,F894,Korean Air,ICN,BKK,On-time,62,Male,Medium,Family,Business,Platinum,Airport Kiosk,8.3,3.0,79,0,0,Aisle,3668,274,2024-03-08,0,1,4,3,760.16,100
P114,F1596,Qantas,SYD,SYD,Cancelled,29,Male,Medium,Emergency,Economy,Gold,Desk,9.5,7.0,8,0,0,Middle,0,0,2025-03-14,0,14,4,3,494.22,40
P116,F590,Japan Airlines,NRT,BKK,On-time,71,Female,Medium,Business,Business,Silver,Airport Kiosk,7.2,5.0,66,0,0,Middle,4648,348,2024-07-07,1,2,6,7,682.54,0
P117,F1014,Singapore Airlines,SIN,BKK,On-time,54,Male,Low,Emergency,Economy,Gold,Desk,7.6,3.0,58,1,0,Aisle,1416,106,2023-05-26,0,10,4,5,450.5,20
P118,F472,Qantas,ICN,BKK,Delayed,67,Female,Medium,Leisure,Economy,Silver,Airport Kiosk,7.4,0.0,24,1,0,Window,3668,274,2023-11-16,0,3,3,11,545.21,40
P119,F1697,Singapore Airlines,NRT,BKK,Delayed,26,Male,High,Leisure,Economy,Gold,Desk,5.6,9.0,17,0,0,Window,4648,348,2023-12-07,0,12,3,12,226.68,20
P120,F1043,Malaysia Airlines,KUL,BKK,On-time,51,Male,Medium,Family,Economy,None,Mobile App,8.2,2.0,27,0,1,Aisle,1220,91,2023-12-28,1,10,3,12,516.75,20
P121,F1965,Singapore Airlines,BKK,HKG,On-time,25,Male,Medium,Emergency,Economy,Silver,Mobile App,6.8,6.0,67,0,1,Aisle,1689,126,2024-11-26,0,21,1,11,577.24,0
P122,F1475,Malaysia Airlines,SYD,SYD,On-time,79,Male,Medium,Leisure,Premium Economy,Silver,Mobile App,7.6,6.0,101,0,0,Window,0,0,2024-04-29,0,5,0,4,192.33,60
P123,F1349,Malaysia Airlines,KUL,HKG,On-time,61,Male,Medium,Family,Premium Economy,None,Desk,8.8,3.0,9,0,0,Aisle,2543,190,2023-07-31,1,1,0,7,390.09,20
P124,F539,Singapore Airlines,BKK,KUL,On-time,32,Male,Low,Family,Economy,None,Online,6.0,1.0,43,0,0,Aisle,1220,91,2024-10-27,0,11,6,10,819.97,20
P125,F1332,Korean Air,SIN,BKK,Cancelled,29,Male,Medium,Leisure,Economy,None,Online,4.8,12.0,98,0,0,Aisle,1416,106,2023-12-05,0,10,1,12,500.86,20
P126,F940,Singapore Airlines,NRT,BKK,Delayed,45,Male,Low,Family,Economy,None,Mobile App,8.8,5.0,99,0,0,Window,4648,348,2024-06-22,1,4,5,6,266.3,40
P128,F1539,Singapore Airlines,KUL,HKG,On-time,42,Female,Low,Emergency,Business,Platinum,Mobile App,5.7,7.0,7,0,0,Middle,2543,190,2024-02-16,1,15,4,2,642.72,60
P129,F1437,Japan Airlines,ICN,BKK,On-time,62,Male,High,Emergency,Economy,Silver,Online,5.9,0.0,39,0,0,Aisle,3668,274,2023-07-19,1,21,2,7,474.63,0
P130,F345,Japan Airlines,ICN,PVG,On-time,31,Female,High,Emergency,Business,None,Online,9.0,11.0,86,0,0,Aisle,822,61,2024-04-03,0,23,2,4,710.88,60
P132,F747,Malaysia Airlines,NRT,BKK,On-time,43,Female,Low,Family,Economy,Platinum,Desk,7.5,1.0,2,0,0,Window,4648,348,2023-07-08,1,15,5,7,573.6,20
P133,F1572,Singapore Airlines,SIN,KUL,On-time,19,Male,Medium,Leisure,Premium Economy,Silver,Mobile App,8.5,13.0,78,0,0,Aisle,297,22,2024-12-26,1,0,3,12,441.38,40
P134,F33,Qantas,TPE,SIN,On-time,77,Male,High,Family,Economy,None,Airport Kiosk,6.2,8.0,7,0,1,Aisle,3222,241,2024-07-19,1,18,4,7,561.66,40
P135,F1202,Japan Airlines,BKK,KUL,On-time,57,Female,Medium,Family,Economy,None,Online,6.7,27.0,104,0,0,Aisle,1220,91,2024-01-28,1,10,6,1,367.88,40
P136,F1104,Japan Airlines,SIN,KUL,On-time,60,Male,High,Leisure,Premium Economy,Silver,Mobile App,7.2,15.0,23,0,0,Middle,297,22,2024-12-27,1,6,4,12,496.14,0
P137,F1672,Korean Air,HKG,BKK,On-time,76,Male,High,Leisure,Economy,None,Desk,8.7,12.0,100,0,0,Window,1689,126,2025-04-11,0,15,4,4,714.72,40
P138,F36,Qantas,SIN,BKK,On-time,71,Male,Low,Leisure,Economy,None,Desk,7.1,3.0,119,0,0,Window,1416,106,2024-10-19,0,15,5,10,509.88,0
P139,F101,Japan Airlines,TPE,ICN,On-time,26,Male,High,Emergency,Business,None,Airport Kiosk,9.1,19.0,118,0,0,Window,1463,109,2023-05-21,0,20,6,5,428.25,20
P141,F367,Qantas,BKK,TPE,On-time,68,Female,Medium,Leisure,Premium Economy,None,Online,8.1,3.0,53,1,0,Middle,2489,186,2023-06-28,1,15,2,6,252.02,20
P142,F467,Korean Air,SYD,SYD,Delayed,33,Female,High,Leisure,Premium Economy,None,Mobile App,6.5,18.0,107,0,0,Window,0,0,2024-05-12,0,0,6,5,628.35,60
P143,F1873,Japan Airlines,BKK,HKG,On-time,37,Female,Medium,Leisure,Economy,Platinum,Mobile App,5.5,6.0,45,0,0,Aisle,1689,126,2024-11-04,0,5,0,11,264.06,60
P144,F1775,Malaysia Airlines,TPE,HKG,On-time,54,Male,Medium,Leisure,Economy,None,Online,10.0,4.0,58,0,0,Aisle,806,60,2024-07-19,1,14,4,7,509.43,20
P145,F1924,Japan Airlines,SIN,HKG,On-time,74,Female,Low,Family,Economy,None,Online,5.6,3.0,78,0,0,Aisle,2565,192,2024-06-06,1,13,3,6,582.42,0
P146,F1557,Malaysia Airlines,KUL,HKG,On-time,60,Female,Low,Emergency,Premium Economy,Silver,Airport Kiosk,6.1,13.0,72,0,1,Aisle,2543,190,2023-10-03,0,9,1,10,455.92,20
P147,F1675,Japan Airlines,SYD,SYD,On-time,36,Female,Medium,Family,Economy,None,Mobile App,4.6,7.0,70,0,1,Middle,0,0,2023-11-12,1,11,6,11,305.85,60
P148,F1414,Qantas,BKK,TPE,Cancelled,24,Female,High,Emergency,Business,Gold,Airport Kiosk,3.1,19.0,27,0,0,Aisle,2489,186,2024-02-26,0,8,0,2,409.14,20
P149,F56,Singapore Airlines,SYD,SYD,On-time,72,Female,Medium,Business,Business,Gold,Online,8.8,11.0,90,0,0,Middle,0,0,2024-06-06,1,18,3,6,412.94,20
P150,F437,Korean Air,SIN,BKK,On-time,41,Male,Low,Family,Economy,Silver,Mobile App,9.3,7.0,63,0,1,Middle,1416,106,2023-09-22,0,2,4,9,444.46,20
P151,F782,Singapore Airlines,BKK,HKG,On-time,31,Male,High,Family,Economy,Gold,Mobile App,4.4,1.0,103,0,0,Aisle,1689,126,2024-12-04,0,11,2,12,661.58,60
P152,F1880,Korean Air,NRT,BKK,On-time,43,Male,Medium,Business,Economy,None,Mobile App,7.3,5.0,60,0,0,Middle,4648,348,2024-02-22,0,13,3,2,862.77,20
P153,F1236,Singapore Airlines,SYD,SIN,On-time,33,Female,Medium,Emergency,Economy,None,Desk,7.6,3.0,68,0,0,Middle,6293,472,2024-07-05,1,0,4,7,429.62,20
P154,F1015,Singapore Airlines,SIN,KUL,On-time,20,Female,Low,Business,Premium Economy,None,Desk,8.2,13.0,56,0,0,Aisle,297,22,2024-06-13,1,7,3,6,476.0,20
P155,F1695,Korean Air,SYD,SYD,On-time,79,Female,Low,Leisure,Economy,None,Airport Kiosk,8.0,0.0,104,0,0,Aisle,0,0,2024-04-20,0,21,5,4,673.95,40
P156,F1166,Singapore Airlines,TPE,ICN,Delayed,20,Female,High,Leisure,Economy,Silver,Mobile App,8.2,12.0,70,0,0,Window,1463,109,2025-03-17,0,12,0,3,437.78,20
P157,F1027,Singapore Airlines,TPE,BKK,On-time,77,Female,Medium,Leisure,Business,Gold,Airport Kiosk,3.5,4.0,112,0,0,Aisle,2489,186,2025-04-15,0,21,1,4,542.69,40
P158,F43,Malaysia Airlines,SIN,BKK,On-time,57,Male,Medium,Emergency,Premium Economy,None,Online,8.1,1.0,54,0,0,Aisle,1416,106,2024-05-15,0,8,2,5,566.76,20
P159,F1017,Singapore Airlines,ICN,PVG,On-time,34,Male,Low,Family,Economy,Gold,Airport Kiosk,4.7,16.0,35,0,0,Aisle,822,61,2024-05-30,1,14,3,5,737.84,0
P160,F1990,Singapore Airlines,HKG,PVG,Delayed,51,Female,Medium,Emergency,Premium Economy,Platinum,Online,6.1,5.0,34,0,0,Aisle,1255,94,2023-09-21,0,9,3,9,803.71,40
P161,F1336,Korean Air,TPE,ICN,On-time,55,Female,Medium,Emergency,Economy,Silver,Desk,10.0,17.0,89,0,0,Middle,1463,109,2024-09-04,0,11,2,9,514.42,20
